shipment_id,ship_date,region,transport_mode,distance_km,shipment_volume_kg,delivery_time_hours,sla_hours,on_time,transport_cost_usd,customer_satisfaction,month,cost_per_kg
SHP00267,2025-11-08,West,Road,466.0,775.4,19.74,24,True,480.66,4.21,2025-11,0.62
SHP00268,2025-01-30,Central,Road,482.1,325.4,22.8,24,True,441.36,3.34,2025-01,1.356
SHP00269,2025-11-29,North,Road,272.5,733.1,15.35,24,True,274.84,4.2,2025-11,0.375
SHP00270,2025-03-01,Central,Rail,1241.2,227.7,24.89,30,True,655.43,4.46,2025-03,2.878
SHP00271,2025-07-26,West,Road,722.5,334.3,38.76,24,False,695.57,2.64,2025-07,2.081
SHP00272,2025-04-02,East,Road,287.9,1345.5,8.22,24,True,335.58,4.96,2025-04,0.249
SHP00273,2025-11-28,West,Sea,620.2,1863.0,77.42,50,False,229.67,3.62,2025-11,0.123
SHP00274,2025-07-26,South,Road,352.6,203.9,12.89,24,True,346.8,5.0,2025-07,1.701
SHP00275,2025-08-10,North,Road,768.6,374.8,38.12,24,False,732.95,2.72,2025-08,1.956
SHP00276,2025-10-06,Central,Road,156.2,1028.1,17.31,24,True,178.71,4.57,2025-10,0.174
SHP00277,2025-10-29,North,Road,589.9,243.4,18.06,24,True,586.1,3.53,2025-10,2.408
SHP00278,2025-06-25,Central,Sea,1148.3,545.4,41.28,50,True,306.48,5.0,2025-06,0.562
SHP00279,2025-07-02,South,Road,199.1,339.8,11.07,24,True,206.3,4.86,2025-07,0.607
SHP00280,2025-07-30,East,Rail,1112.0,1755.6,42.5,30,False,592.3,2.67,2025-07,0.337
SHP00281,2025-06-15,Central,Road,758.6,103.9,18.55,24,True,679.23,4.67,2025-06,6.537
SHP00282,2025-12-11,East,Road,953.2,255.9,27.46,24,False,1001.45,3.44,2025-12,3.913
SHP00283,2025-05-22,West,Road,485.6,160.8,18.02,24,True,475.52,4.39,2025-05,2.957
SHP00284,2025-08-18,North,Rail,183.8,63.7,22.01,30,True,104.77,4.66,2025-08,1.645
SHP00285,2025-05-24,West,Road,315.5,504.8,14.07,24,True,304.0,4.81,2025-05,0.602
SHP00286,2025-10-20,West,Rail,824.3,404.0,24.97,30,True,456.01,3.84,2025-10,1.129
SHP00287,2025-03-12,Central,Rail,648.5,607.4,15.46,30,True,368.71,4.2,2025-03,0.607
SHP00288,2025-12-26,North,Road,135.2,327.7,8.68,24,True,113.58,4.62,2025-12,0.347
SHP00289,2025-05-08,North,Rail,517.1,1076.4,38.03,30,False,355.01,3.16,2025-05,0.33
SHP00290,2025-09-22,North,Rail,627.6,81.6,12.39,30,True,344.4,4.44,2025-09,4.221
SHP00291,2025-07-20,North,Road,442.8,411.1,16.39,24,True,327.28,5.0,2025-07,0.796
SHP00292,2025-12-31,East,Road,314.5,1024.8,8.54,24,True,301.5,5.0,2025-12,0.294
SHP00293,2025-07-10,Central,Road,934.7,1743.0,26.14,24,False,999.13,2.96,2025-07,0.573
SHP00294,2025-07-04,East,Road,236.2,212.0,16.06,24,True,220.16,4.52,2025-07,1.038
SHP00295,2025-04-24,West,Road,711.2,183.2,52.2,24,False,680.22,2.27,2025-04,3.713
SHP00296,2025-04-21,North,Road,257.6,183.3,9.57,24,True,250.61,4.87,2025-04,1.367
SHP00297,2025-04-04,Central,Road,824.6,335.2,18.74,24,True,835.71,5.0,2025-04,2.493
SHP00298,2025-06-29,West,Road,340.5,758.4,8.98,24,True,337.46,5.0,2025-06,0.445
SHP00299,2025-03-13,Central,Sea,515.6,200.4,65.57,50,False,132.85,3.25,2025-03,0.663
SHP00300,2025-02-25,West,Road,505.1,2255.6,28.7,24,False,529.74,3.03,2025-02,0.235
SHP00301,2025-06-05,North,Sea,604.3,211.3,47.85,50,True,159.89,4.63,2025-06,0.757
SHP00302,2025-09-26,North,Road,663.4,466.3,36.78,24,False,642.77,3.18,2025-09,1.378
SHP00303,2025-07-27,Central,Road,785.3,365.9,26.36,24,False,690.96,2.83,2025-07,1.888
SHP00304,2025-12-26,North,Road,352.7,182.7,13.13,24,True,341.69,4.95,2025-12,1.87
SHP00305,2025-07-02,West,Air,2157.4,171.7,19.35,14,False,9496.92,2.94,2025-07,55.311
SHP00306,2025-09-10,West,Sea,384.4,494.7,25.64,50,True,110.61,3.62,2025-09,0.224
SHP00307,2025-04-01,East,Road,382.0,450.6,20.15,24,True,333.1,4.94,2025-04,0.739
SHP00308,2025-08-25,Central,Road,588.2,361.2,18.63,24,True,536.03,3.39,2025-08,1.484
SHP00309,2025-08-08,Central,Air,2474.0,982.2,12.55,14,True,10735.26,3.85,2025-08,10.93
SHP00310,2025-07-10,South,Road,496.7,278.0,30.38,24,False,479.17,3.54,2025-07,1.724
SHP00311,2025-06-15,West,Road,462.7,259.9,18.73,24,True,430.91,3.34,2025-06,1.658
SHP00312,2025-06-12,Central,Road,51.6,623.9,15.57,24,True,63.14,4.26,2025-06,0.101
SHP00313,2025-01-13,West,Sea,431.5,802.9,36.67,50,True,129.73,3.82,2025-01,0.162
SHP00314,2025-02-13,East,Air,1291.8,1021.1,17.11,14,False,5529.62,3.51,2025-02,5.415
SHP00315,2025-08-27,South,Road,698.8,154.1,13.75,24,True,643.89,4.7,2025-08,4.178
SHP00316,2025-09-28,North,Sea,221.2,441.1,13.75,50,True,65.06,5.0,2025-09,0.147
SHP00317,2025-08-09,Central,Sea,575.7,128.7,83.16,50,False,151.93,1.92,2025-08,1.18
SHP00318,2025-04-06,Central,Rail,166.4,507.2,15.93,30,True,103.17,4.79,2025-04,0.203
SHP00319,2025-08-02,North,Sea,567.9,654.8,35.57,50,True,152.07,4.1,2025-08,0.232
SHP00320,2025-01-18,North,Road,726.1,1535.6,19.85,24,True,623.21,4.23,2025-01,0.406
SHP00321,2025-07-25,South,Road,202.4,141.8,20.24,24,True,179.28,4.45,2025-07,1.264
SHP00322,2025-08-02,South,Sea,1121.4,266.7,58.91,50,False,276.58,3.62,2025-08,1.037
SHP00323,2025-09-19,Central,Road,326.5,434.9,13.22,24,True,296.77,4.16,2025-09,0.682
SHP00324,2025-03-13,South,Rail,1089.7,362.0,52.12,30,False,673.7,2.25,2025-03,1.861
SHP00325,2025-11-21,East,Road,580.2,595.3,25.01,24,False,516.35,3.69,2025-11,0.867
SHP00326,2025-10-02,South,Road,300.7,860.4,14.91,24,True,338.33,4.06,2025-10,0.393
SHP00327,2025-12-22,South,Sea,464.7,190.1,35.45,50,True,121.01,3.34,2025-12,0.637
SHP00328,2025-12-01,West,Road,620.4,125.9,21.64,24,True,577.47,4.14,2025-12,4.587
SHP00329,2025-10-25,Central,Road,633.2,199.9,24.98,24,False,566.4,3.75,2025-10,2.833
SHP00330,2025-07-13,North,Road,45.4,419.5,21.51,24,True,44.65,4.24,2025-07,0.106
SHP00331,2025-04-16,Central,Road,120.3,930.1,11.71,24,True,128.77,4.85,2025-04,0.138
SHP00332,2025-10-30,East,Road,733.1,746.4,29.15,24,False,753.76,3.85,2025-10,1.01
SHP00333,2025-12-18,North,Air,2335.9,813.6,9.04,14,True,9817.56,4.55,2025-12,12.067
SHP00334,2025-01-15,East,Air,2409.5,382.5,19.61,14,False,11150.56,3.07,2025-01,29.152
SHP00335,2025-02-05,East,Road,623.4,481.4,16.4,24,True,611.0,3.47,2025-02,1.269
SHP00336,2025-08-31,Central,Rail,1009.5,860.8,21.77,30,True,606.31,4.07,2025-08,0.704
SHP00337,2025-04-19,West,Road,405.6,68.5,20.64,24,True,386.07,4.1,2025-04,5.636
SHP00338,2025-04-05,South,Road,581.2,143.0,27.88,24,False,536.89,4.12,2025-04,3.754
SHP00339,2025-02-23,South,Road,149.9,229.3,10.1,24,True,144.93,5.0,2025-02,0.632
SHP00340,2025-06-12,South,Road,470.1,1194.4,25.03,24,False,424.48,3.23,2025-06,0.355
SHP00341,2025-04-21,East,Road,471.9,448.6,13.87,24,True,474.87,4.98,2025-04,1.059
SHP00342,2025-07-30,North,Road,472.8,384.3,12.2,24,True,440.06,4.21,2025-07,1.145
SHP00343,2025-08-08,North,Road,386.8,83.0,26.5,24,False,381.18,4.31,2025-08,4.593
SHP00344,2025-02-15,South,Rail,878.3,691.5,28.79,30,True,494.03,3.93,2025-02,0.714
SHP00345,2025-12-14,Central,Sea,722.4,439.9,38.92,50,True,210.64,4.21,2025-12,0.479
SHP00346,2025-04-03,Central,Road,226.1,433.0,13.36,24,True,204.61,4.43,2025-04,0.473
SHP00347,2025-01-07,Central,Road,658.3,194.5,41.47,24,False,541.15,2.59,2025-01,2.782
SHP00348,2025-01-04,North,Road,423.7,80.1,22.9,24,True,354.15,3.36,2025-01,4.421
SHP00349,2025-05-03,North,Rail,921.7,488.5,32.15,30,False,579.61,4.01,2025-05,1.187
SHP00350,2025-02-08,North,Road,859.6,1049.2,27.84,24,False,957.26,2.7,2025-02,0.912
SHP00351,2025-12-12,South,Air,1992.4,115.3,6.57,14,True,9160.44,4.87,2025-12,79.449
SHP00352,2025-09-28,East,Sea,115.4,1395.8,9.48,50,True,68.45,5.0,2025-09,0.049
SHP00353,2025-01-11,North,Road,410.4,1731.2,12.56,24,True,437.18,4.72,2025-01,0.253
SHP00354,2025-05-24,South,Air,3510.7,601.7,18.37,14,False,16825.98,3.08,2025-05,27.964
SHP00355,2025-09-28,South,Road,421.6,632.2,19.72,24,True,437.69,4.24,2025-09,0.692
SHP00356,2025-02-14,South,Rail,464.4,296.0,18.4,30,True,264.02,4.92,2025-02,0.892
SHP00357,2025-09-23,Central,Road,1280.7,697.5,42.9,24,False,1300.47,2.06,2025-09,1.864
SHP00358,2025-05-26,North,Road,352.5,92.4,21.35,24,True,266.1,3.42,2025-05,2.88
SHP00359,2025-04-04,North,Road,509.3,2005.0,18.06,24,True,520.85,3.5,2025-04,0.26
SHP00360,2025-04-21,North,Rail,647.2,174.0,18.59,30,True,403.0,4.98,2025-04,2.316
SHP00361,2025-05-31,Central,Road,279.9,258.2,18.31,24,True,258.41,3.82,2025-05,1.001
SHP00362,2025-05-30,West,Road,592.5,245.8,39.34,24,False,625.82,2.75,2025-05,2.546
SHP00363,2025-06-07,South,Road,248.2,239.0,18.37,24,True,220.93,4.03,2025-06,0.924
SHP00364,2025-05-15,South,Rail,855.9,154.9,16.51,30,True,502.62,4.67,2025-05,3.245
SHP00365,2025-04-11,South,Rail,1297.1,728.7,34.01,30,False,733.15,3.0,2025-04,1.006
SHP00366,2025-01-19,South,Road,525.4,303.9,14.25,24,True,486.33,4.86,2025-01,1.6
SHP00367,2025-07-30,South,Road,1016.3,495.8,40.02,24,False,958.71,1.73,2025-07,1.934
SHP00368,2025-01-21,South,Road,596.0,642.7,29.62,24,False,494.83,4.24,2025-01,0.77
SHP00369,2025-01-15,North,Road,193.1,105.6,19.92,24,True,171.36,4.51,2025-01,1.623
SHP00370,2025-04-21,South,Road,335.4,732.1,16.72,24,True,338.43,4.49,2025-04,0.462
SHP00371,2025-06-13,Central,Air,2192.9,546.0,7.68,14,True,8956.65,5.0,2025-06,16.404
SHP00372,2025-05-31,South,Air,1980.7,195.2,5.62,14,True,8398.99,4.01,2025-05,43.028
SHP00373,2025-08-08,Central,Road,172.0,281.1,10.7,24,True,169.61,4.71,2025-08,0.603
SHP00374,2025-05-24,South,Road,164.2,190.4,12.97,24,True,145.65,4.76,2025-05,0.765
SHP00375,2025-06-28,West,Road,495.6,579.7,13.24,24,True,480.59,4.1,2025-06,0.829
SHP00376,2025-12-03,West,Sea,345.7,242.6,31.69,50,True,96.43,3.79,2025-12,0.397
SHP00377,2025-08-02,South,Road,563.9,190.8,16.09,24,True,541.64,4.81,2025-08,2.839
SHP00378,2025-11-27,West,Road,605.2,335.8,29.89,24,False,537.27,3.81,2025-11,1.6
SHP00379,2025-09-10,South,Rail,1282.5,1492.1,25.96,30,True,606.27,3.55,2025-09,0.406
SHP00380,2025-07-09,West,Road,314.7,335.8,16.94,24,True,268.92,4.16,2025-07,0.801
SHP00381,2025-12-15,West,Road,463.1,412.2,17.48,24,True,383.97,2.83,2025-12,0.932
SHP00382,2025-03-26,Central,Road,624.7,342.6,21.68,24,True,652.42,4.49,2025-03,1.904
SHP00383,2025-12-16,Central,Sea,546.9,276.4,34.47,50,True,151.3,4.66,2025-12,0.547
SHP00384,2025-09-08,South,Road,371.3,113.5,11.02,24,True,351.64,4.75,2025-09,3.098
SHP00385,2025-04-15,Central,Road,339.3,56.9,24.23,24,False,326.92,3.82,2025-04,5.746
SHP00386,2025-06-20,North,Road,432.0,819.8,22.69,24,True,402.38,3.85,2025-06,0.491
SHP00387,2025-11-01,Central,Sea,1643.7,333.2,65.1,50,False,429.28,2.34,2025-11,1.288
SHP00388,2025-11-24,Central,Road,226.6,1304.0,5.89,24,True,262.54,4.81,2025-11,0.201
SHP00389,2025-02-11,South,Road,446.7,122.3,12.63,24,True,405.18,5.0,2025-02,3.313
SHP00390,2025-02-26,North,Sea,609.5,300.7,21.78,50,True,165.49,4.27,2025-02,0.55
SHP00391,2025-03-15,North,Sea,841.7,264.8,35.43,50,True,245.79,4.26,2025-03,0.928
SHP00392,2025-05-20,East,Road,414.3,3791.5,30.19,24,False,477.46,2.55,2025-05,0.126
SHP00393,2025-04-19,West,Air,1119.9,588.9,6.22,14,True,4576.53,4.64,2025-04,7.771
SHP00394,2025-03-08,Central,Road,403.0,2196.8,32.94,24,False,482.46,2.97,2025-03,0.22
SHP00395,2025-03-12,North,Road,456.5,876.2,12.99,24,True,388.15,5.0,2025-03,0.443
SHP00396,2025-02-01,Central,Rail,253.3,536.1,17.33,30,True,157.1,4.81,2025-02,0.293
SHP00397,2025-04-11,South,Sea,609.7,111.1,49.27,50,True,151.19,3.65,2025-04,1.361
SHP00398,2025-05-17,South,Road,442.1,113.7,14.25,24,True,355.2,4.14,2025-05,3.124
SHP00399,2025-02-14,South,Road,924.3,1732.2,26.34,24,False,818.25,4.06,2025-02,0.472
SHP00400,2025-01-19,South,Road,261.9,1179.3,25.22,24,False,237.87,3.51,2025-01,0.202
SHP00401,2025-03-17,North,Road,210.1,889.8,13.69,24,True,184.54,4.71,2025-03,0.207
SHP00402,2025-02-18,West,Road,684.9,331.2,32.89,24,False,609.72,3.58,2025-02,1.841
SHP00403,2025-11-30,North,Road,743.9,79.0,34.88,24,False,653.54,2.76,2025-11,8.273
SHP00404,2025-08-04,South,Air,799.3,371.4,9.4,14,True,3868.05,4.4,2025-08,10.415
SHP00405,2025-05-10,West,Rail,93.4,590.7,11.3,30,True,63.52,4.67,2025-05,0.108
SHP00406,2025-07-11,North,Air,4002.1,729.6,13.92,14,True,16061.56,3.81,2025-07,22.014
SHP00407,2025-12-23,North,Road,475.6,1070.6,19.12,24,True,477.03,3.87,2025-12,0.446
SHP00408,2025-11-24,West,Sea,568.1,127.6,71.31,50,False,139.08,2.63,2025-11,1.09
SHP00409,2025-09-14,South,Rail,811.9,890.9,31.37,30,False,459.35,3.27,2025-09,0.516
SHP00410,2025-05-20,East,Rail,532.3,149.6,20.73,30,True,310.79,3.73,2025-05,2.077
SHP00411,2025-08-30,East,Road,448.4,61.9,18.03,24,True,467.78,3.76,2025-08,7.557
SHP00412,2025-02-13,South,Rail,868.6,338.6,20.16,30,True,486.74,4.02,2025-02,1.438
SHP00413,2025-02-08,Central,Road,425.3,256.3,22.44,24,True,372.71,3.4,2025-02,1.454
SHP00414,2025-08-14,East,Road,303.4,713.4,23.21,24,True,271.23,3.86,2025-08,0.38
SHP00415,2025-04-20,South,Road,786.1,198.4,19.93,24,True,691.4,4.46,2025-04,3.485
SHP00416,2025-07-29,South,Rail,565.6,584.9,50.46,30,False,360.15,2.5,2025-07,0.616
SHP00417,2025-10-12,East,Road,251.1,954.4,17.19,24,True,221.7,4.36,2025-10,0.232
SHP00418,2025-07-23,South,Road,453.0,277.5,27.79,24,False,451.49,3.26,2025-07,1.627
SHP00419,2025-12-28,North,Rail,501.9,1456.7,25.02,30,True,309.6,3.62,2025-12,0.213
SHP00420,2025-05-31,East,Rail,245.7,200.1,11.84,30,True,144.7,4.86,2025-05,0.723
SHP00421,2025-12-19,South,Road,321.0,306.4,21.85,24,True,329.36,3.75,2025-12,1.075
SHP00422,2025-02-25,North,Road,354.9,799.7,20.41,24,True,318.35,3.36,2025-02,0.398
SHP00423,2025-04-08,West,Sea,430.1,154.7,15.82,50,True,103.15,4.08,2025-04,0.667
SHP00424,2025-07-26,West,Road,356.0,497.0,12.25,24,True,377.12,3.82,2025-07,0.759
SHP00425,2025-09-03,South,Sea,431.6,168.5,33.64,50,True,114.96,4.82,2025-09,0.682
SHP00426,2025-08-27,North,Rail,400.6,2036.2,31.92,30,False,305.51,4.22,2025-08,0.15
SHP00427,2025-07-14,South,Sea,683.2,35.1,72.09,50,False,170.06,3.46,2025-07,4.845
SHP00428,2025-07-26,West,Road,383.6,1113.2,23.96,24,True,416.92,3.43,2025-07,0.375
SHP00429,2025-01-19,South,Road,621.5,1181.7,39.72,24,False,600.15,1.75,2025-01,0.508
SHP00430,2025-05-08,North,Road,363.7,122.0,25.86,24,False,321.91,3.07,2025-05,2.639
SHP00431,2025-03-04,North,Road,635.9,262.2,22.34,24,True,669.92,4.08,2025-03,2.555
SHP00432,2025-04-02,North,Rail,222.9,427.6,9.69,30,True,151.61,3.41,2025-04,0.355
SHP00433,2025-08-21,South,Sea,877.1,91.6,47.0,50,True,210.9,4.65,2025-08,2.302
SHP00434,2025-07-20,South,Road,321.5,2082.1,11.18,24,True,316.25,4.5,2025-07,0.152
SHP00435,2025-07-16,South,Road,401.1,540.2,11.51,24,True,367.11,4.6,2025-07,0.68
SHP00436,2025-10-10,North,Road,366.3,189.0,17.97,24,True,278.98,4.69,2025-10,1.476
SHP00437,2025-01-18,South,Road,293.3,467.7,28.61,24,False,288.52,3.78,2025-01,0.617
SHP00438,2025-07-20,South,Road,474.1,148.8,29.51,24,False,376.94,3.67,2025-07,2.533
SHP00439,2025-01-01,Central,Road,338.7,2335.0,15.09,24,True,359.15,4.41,2025-01,0.154
SHP00440,2025-10-24,North,Air,2158.1,450.3,17.02,14,False,10057.82,3.69,2025-10,22.336
SHP00441,2025-01-03,North,Rail,1339.9,1569.0,32.95,30,False,859.6,4.13,2025-01,0.548
SHP00442,2025-07-30,East,Road,156.7,206.3,7.9,24,True,155.5,4.8,2025-07,0.754
SHP00443,2025-05-21,East,Road,646.9,121.5,19.17,24,True,568.53,4.76,2025-05,4.679
SHP00444,2025-04-17,South,Road,216.8,396.3,18.42,24,True,219.59,3.82,2025-04,0.554
SHP00445,2025-12-02,East,Air,3064.8,1070.1,21.74,14,False,12237.7,2.77,2025-12,11.436
SHP00446,2025-03-11,West,Road,137.3,268.8,25.03,24,False,126.92,3.63,2025-03,0.472
SHP00447,2025-08-02,South,Road,178.0,580.4,19.05,24,True,185.88,3.59,2025-08,0.32
SHP00448,2025-11-16,North,Road,979.0,834.8,24.35,24,False,987.02,3.13,2025-11,1.182
SHP00449,2025-06-30,West,Air,2123.3,433.1,16.01,14,False,8375.93,3.63,2025-06,19.339
SHP00450,2025-08-14,West,Road,287.4,311.0,8.2,24,True,246.87,4.86,2025-08,0.794
SHP00451,2025-01-29,East,Rail,839.7,330.1,39.5,30,False,464.87,3.67,2025-01,1.408
SHP00452,2025-07-10,Central,Sea,1041.2,1335.9,51.31,50,False,320.73,4.19,2025-07,0.24
SHP00453,2025-08-06,West,Road,308.9,155.6,16.78,24,True,274.76,3.13,2025-08,1.766
SHP00454,2025-12-17,West,Rail,373.9,923.8,14.68,30,True,252.05,4.75,2025-12,0.273
SHP00455,2025-04-07,Central,Sea,1116.5,397.0,70.0,50,False,286.84,3.25,2025-04,0.723
SHP00456,2025-06-03,East,Road,521.4,744.1,24.38,24,False,457.08,3.72,2025-06,0.614
SHP00457,2025-06-08,West,Air,1741.1,522.2,10.5,14,True,6749.26,4.18,2025-06,12.925
SHP00458,2025-06-13,West,Road,668.3,86.7,38.01,24,False,552.94,2.96,2025-06,6.378
SHP00459,2025-11-10,South,Rail,1094.4,198.1,24.12,30,True,655.59,3.23,2025-11,3.309
SHP00460,2025-04-27,West,Air,2989.7,640.8,15.32,14,False,11172.87,4.06,2025-04,17.436
SHP00461,2025-02-04,North,Rail,856.1,193.2,27.99,30,True,459.1,3.63,2025-02,2.376
SHP00462,2025-03-09,Central,Road,550.0,202.7,24.81,24,False,500.1,4.28,2025-03,2.467
SHP00463,2025-05-12,East,Road,229.0,119.4,12.96,24,True,221.24,4.66,2025-05,1.853
SHP00464,2025-11-03,East,Rail,692.5,116.8,32.02,30,False,354.23,3.6,2025-11,3.033
SHP00465,2025-11-06,North,Rail,505.8,1060.9,35.13,30,False,275.58,3.77,2025-11,0.26
SHP00466,2025-12-25,North,Road,202.9,415.8,6.07,24,True,225.41,4.87,2025-12,0.542
SHP00467,2025-02-01,North,Sea,395.2,208.3,53.76,50,False,97.61,3.65,2025-02,0.469
SHP00468,2025-05-23,Central,Road,477.6,682.6,15.38,24,True,500.51,4.77,2025-05,0.733
SHP00469,2025-01-20,South,Air,1001.7,1039.3,8.18,14,True,4515.83,4.53,2025-01,4.345
SHP00470,2025-01-30,West,Sea,450.6,188.8,38.15,50,True,113.51,3.7,2025-01,0.601
SHP00471,2025-06-12,North,Air,1376.4,194.3,6.81,14,True,6034.4,4.76,2025-06,31.057
SHP00472,2025-06-20,Central,Road,440.9,166.3,22.97,24,True,434.65,4.24,2025-06,2.614
SHP00473,2025-07-23,South,Air,1055.5,403.5,14.14,14,False,4757.56,3.56,2025-07,11.791
SHP00474,2025-09-21,South,Rail,334.6,2097.4,19.82,30,True,229.67,4.89,2025-09,0.11
SHP00475,2025-06-19,Central,Sea,895.1,184.5,46.77,50,True,247.99,2.51,2025-06,1.344
SHP00476,2025-06-10,West,Air,1009.7,276.5,5.58,14,True,4760.68,5.0,2025-06,17.218
SHP00477,2025-05-14,East,Road,339.4,453.6,26.46,24,False,308.91,3.16,2025-05,0.681
SHP00478,2025-09-19,West,Road,543.0,1727.9,18.92,24,True,529.76,4.39,2025-09,0.307
SHP00479,2025-09-26,East,Sea,967.5,513.8,37.65,50,True,256.36,3.82,2025-09,0.499
SHP00480,2025-11-25,Central,Sea,563.5,173.6,51.02,50,False,139.63,4.51,2025-11,0.804
SHP00481,2025-06-22,North,Rail,986.1,169.6,46.97,30,False,537.34,2.39,2025-06,3.168
SHP00482,2025-06-09,South,Road,428.3,407.1,24.19,24,False,372.19,3.55,2025-06,0.914
SHP00483,2025-10-21,South,Road,338.2,514.8,24.63,24,False,281.58,4.13,2025-10,0.547
SHP00484,2025-08-02,West,Sea,879.7,359.3,72.91,50,False,219.47,3.17,2025-08,0.611
SHP00485,2025-04-15,Central,Road,665.2,496.0,23.53,24,True,614.45,2.9,2025-04,1.239
SHP00486,2025-06-18,Central,Sea,1094.3,652.8,43.79,50,True,308.7,4.13,2025-06,0.473
SHP00487,2025-11-05,North,Sea,380.9,198.0,43.38,50,True,96.11,4.25,2025-11,0.485
SHP00488,2025-06-21,East,Rail,808.4,182.2,19.12,30,True,452.98,4.55,2025-06,2.486
SHP00489,2025-10-07,North,Rail,457.4,221.7,29.2,30,True,238.27,3.51,2025-10,1.075
SHP00490,2025-10-16,South,Road,710.0,162.7,22.56,24,True,700.85,4.13,2025-10,4.308
SHP00491,2025-01-18,East,Road,400.0,21.2,15.0,24,True,369.07,4.71,2025-01,17.409
SHP00492,2025-09-10,West,Sea,708.5,714.4,57.8,50,False,193.63,2.7,2025-09,0.271
SHP00493,2025-10-15,West,Sea,574.2,325.8,31.82,50,True,141.93,4.22,2025-10,0.436
SHP00494,2025-07-17,West,Road,149.2,383.3,14.66,24,True,123.43,4.48,2025-07,0.322
SHP00495,2025-08-12,East,Sea,970.9,609.7,31.22,50,True,243.09,4.36,2025-08,0.399
SHP00496,2025-10-09,North,Road,179.9,381.3,15.91,24,True,177.96,2.78,2025-10,0.467
SHP00497,2025-04-10,North,Air,1573.3,331.7,8.77,14,True,6672.42,4.08,2025-04,20.116
SHP00498,2025-08-02,East,Rail,784.4,337.0,39.19,30,False,488.02,3.24,2025-08,1.448
SHP00499,2025-07-10,West,Road,530.8,243.3,34.37,24,False,475.82,2.44,2025-07,1.956
SHP00500,2025-11-02,West,Road,512.1,724.0,14.95,24,True,563.72,4.65,2025-11,0.779
SHP00501,2025-12-03,North,Road,467.0,2293.9,24.58,24,False,476.62,3.68,2025-12,0.208
SHP00502,2025-06-05,East,Rail,1195.0,233.4,23.24,30,True,651.6,3.41,2025-06,2.792
SHP00503,2025-08-22,North,Road,285.3,283.3,13.25,24,True,285.87,4.09,2025-08,1.009
SHP00504,2025-10-13,South,Road,193.6,320.9,13.26,24,True,192.73,5.0,2025-10,0.601
SHP00505,2025-08-18,North,Air,2964.4,1258.9,9.84,14,True,10266.21,4.29,2025-08,8.155
SHP00506,2025-02-27,North,Road,600.9,1361.0,26.98,24,False,539.79,2.14,2025-02,0.397
SHP00507,2025-03-15,North,Road,397.9,449.8,11.83,24,True,335.73,5.0,2025-03,0.746
SHP00508,2025-11-06,West,Rail,156.2,289.9,12.44,30,True,103.91,4.56,2025-11,0.358
SHP00509,2025-01-06,Central,Sea,1012.5,241.1,86.25,50,False,293.63,2.64,2025-01,1.218
SHP00510,2025-04-08,East,Air,1544.7,541.4,6.76,14,True,6467.52,5.0,2025-04,11.946
SHP00511,2025-10-05,Central,Air,1220.6,153.0,12.88,14,True,5725.88,3.7,2025-10,37.424
SHP00512,2025-09-30,East,Air,3894.1,62.5,13.64,14,True,16508.63,3.73,2025-09,264.138
SHP00513,2025-04-25,West,Road,641.3,515.9,18.15,24,True,566.0,5.0,2025-04,1.097
SHP00514,2025-02-08,South,Road,540.2,363.8,22.83,24,True,568.01,3.36,2025-02,1.561
SHP00515,2025-12-09,North,Road,362.7,523.3,25.18,24,False,381.17,3.24,2025-12,0.728
SHP00516,2025-11-29,South,Sea,612.4,244.7,52.68,50,False,186.66,3.37,2025-11,0.763
SHP00517,2025-10-03,East,Road,436.4,3131.8,13.2,24,True,437.6,4.61,2025-10,0.14
SHP00518,2025-02-16,North,Rail,948.8,2041.4,36.9,30,False,646.63,4.38,2025-02,0.317
SHP00519,2025-10-25,East,Air,1351.4,189.1,11.75,14,True,6168.49,4.97,2025-10,32.62
SHP00520,2025-07-27,Central,Road,126.4,1917.4,9.42,24,True,172.55,4.63,2025-07,0.09
SHP00521,2025-06-25,South,Road,569.7,356.1,17.91,24,True,505.07,4.53,2025-06,1.418
SHP00522,2025-07-29,West,Road,355.1,216.2,14.72,24,True,320.37,5.0,2025-07,1.482
SHP00523,2025-10-06,East,Road,298.5,381.5,19.22,24,True,304.69,3.19,2025-10,0.799
SHP00524,2025-02-15,North,Air,2218.0,954.0,7.55,14,True,7983.04,4.18,2025-02,8.368
SHP00525,2025-06-26,West,Road,233.4,800.6,23.62,24,True,209.53,3.33,2025-06,0.262
SHP00526,2025-08-01,West,Rail,841.0,1048.5,27.67,30,True,496.98,3.33,2025-08,0.474
SHP00527,2025-08-25,West,Rail,335.1,85.1,9.5,30,True,182.15,5.0,2025-08,2.14
SHP00528,2025-01-11,South,Road,332.5,173.6,14.72,24,True,303.22,3.98,2025-01,1.747
SHP00529,2025-12-25,North,Rail,842.1,84.4,24.54,30,True,515.92,4.38,2025-12,6.113
SHP00530,2025-03-02,Central,Road,269.4,222.9,18.37,24,True,267.23,4.18,2025-03,1.199
SHP00531,2025-10-13,South,Sea,659.7,1093.0,68.91,50,False,167.13,3.37,2025-10,0.153
SHP00532,2025-07-25,East,Road,425.1,5576.7,8.81,24,True,545.84,4.85,2025-07,0.098
SHP00533,2025-04-28,South,Rail,744.1,952.4,29.3,30,True,434.91,3.78,2025-04,0.457
